,Unnamed: 0,fft1,fft2,fft3,fft4,velocity1,velocity2,velocity3,velocity4,rolling1,rolling2,dwt1,dwt2,dwt3,dwt4,Label
242,0,0.7629965223444031,0.7629965223444031,0.5766963505993148,0.5766963505993148,2.025713792049422,-0.6675704237895369,-0.8086114066759549,-1.8595777939610536,3.0999356534553217,-0.1598128365046768,-0.06549957594816104,-0.07651115402255285,-0.02789147797339421,-0.0847859576595518,0
243,1,-1.1696143222752762,-1.1696143222752762,-0.8264238274301874,-0.8264238274301874,0.2563704796336043,-0.34952962444858804,-0.3599000343321715,-1.3251016480521522,0.7252232149589483,-0.4262426909843803,-1.912846629190772,-1.8432064905638008,-1.8652981818243135,-1.7712559446509366,0
244,2,-1.1032719430364704,-1.1032719430364704,-0.8520532286056774,-0.8520532286056774,0.2563704796336043,-0.5615568240092207,-0.6291268577384416,-1.3251016480521522,0.7252232149589483,-0.4262426909843803,-2.0646833732929046,-1.9182077076811177,-1.898705576439785,-1.796427138486629,0
245,3,-0.8129298474998229,-0.8129298474998229,-0.4774195886008072,-0.4774195886008072,0.3798130363137777,0.02151797478251928,0.17855361248036858,0.8128029355834541,0.8909008269470673,-0.4262426909843803,-1.1452275340077696,-1.0181931022733122,-1.1219836516300783,-1.4020784350607831,0
246,4,0.3427351530165263,0.3427351530165263,1.2157840773932644,1.2157840773932644,0.6952773478297762,0.1805383744529938,0.3580381614178819,0.5455648626290032,-0.6513327463744361,-0.4262426909843803,0.4912351524263241,0.5568324571903477,0.5901453224128238,0.3599051334376785,0
247,5,2.9589585899961586,2.9589585899961586,4.374651668690493,4.374651668690493,1.8131182777669013,4.2885653659402525,0.9862340826991788,0.5455648626290032,-0.3578174708152374,-0.6260650818441579,1.7143644799157234,1.7735188682046028,1.8011633772236575,1.8282247738530637,0
248,6,-0.5530628535590124,-0.5530628535590124,-0.34458155844236016,-0.34458155844236016,-0.08652551114465491,-0.0314888251076389,0.08881133801161191,0.5455648626290032,-0.3424769511867078,-0.4706476667309975,-1.4742071462290562,-1.3681987821541255,-1.3057243220151704,-1.4524208227321675,0
249,7,-0.18873644485963306,-0.18873644485963306,0.058623086493992414,0.058623086493992414,1.5319435653287288,-0.13750242488795525,-0.0009309364571447756,0.14470775319732704,2.437225205502845,-0.4262426909843803,0.19599703889439968,0.2151602458781252,0.30618246818131845,0.2424395622044481,0
250,8,-0.7215921317013991,-0.7215921317013991,0.08958762706477062,0.08958762706477062,1.6005227634843806,-0.2965228245584298,-0.09067321092590146,-0.5233874291887999,-0.6017317329088571,-0.1598128365046768,0.3815752816858949,0.4984981772102117,0.5650897764512202,0.6283978676850633,0
251,9,-0.7459970522531231,-0.7459970522531231,-0.14363977957559132,-0.14363977957559132,1.5182277256975985,-0.34952962444858804,-0.27015775986341484,-0.25614935623434915,-0.08015406553885265,0.4230024701696745,-0.35230231480774465,-0.2515139939629589,-0.2867987862432966,-0.3029363042355519,0
252,10,0.15528324887391154,0.15528324887391154,0.5352723866600894,0.5352723866600894,0.8598674234033407,-0.24351602466827166,-0.09067321092590146,0.27832678967455243,1.535202651345308,-0.4262426909843803,0.4659290284093018,0.5484989886217568,0.5149786845280142,0.3599051334376785,0
