,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
23,frozenset({'1.9i'}),frozenset({'190m'}),0.030303030303030304,0.09090909090909091,0.030303030303030304,1.0,11.0,0.027548209366391185,inf
24,frozenset({'100o'}),frozenset({'140m'}),0.030303030303030304,0.06060606060606061,0.030303030303030304,1.0,16.5,0.02846648301193756,inf
25,frozenset({'110o'}),frozenset({'130m'}),0.030303030303030304,0.12121212121212122,0.030303030303030304,1.0,8.25,0.02662993572084481,inf
26,frozenset({'120m'}),frozenset({'120o'}),0.030303030303030304,0.06060606060606061,0.030303030303030304,1.0,16.5,0.02846648301193756,inf
27,frozenset({'80o'}),frozenset({'130m'}),0.030303030303030304,0.12121212121212122,0.030303030303030304,1.0,8.25,0.02662993572084481,inf
28,frozenset({'90o'}),frozenset({'130m'}),0.030303030303030304,0.12121212121212122,0.030303030303030304,1.0,8.25,0.02662993572084481,inf
29,frozenset({'130o'}),frozenset({'180m'}),0.030303030303030304,0.12121212121212122,0.030303030303030304,1.0,8.25,0.02662993572084481,inf
30,frozenset({'2.2i'}),frozenset({'140o'}),0.030303030303030304,0.12121212121212122,0.030303030303030304,1.0,8.25,0.02662993572084481,inf
31,frozenset({'160o'}),frozenset({'190m'}),0.030303030303030304,0.09090909090909091,0.030303030303030304,1.0,11.0,0.027548209366391185,inf
32,frozenset({'170o'}),frozenset({'180m'}),0.030303030303030304,0.12121212121212122,0.030303030303030304,1.0,8.25,0.02662993572084481,inf
33,frozenset({'170o'}),frozenset({'2.0i'}),0.030303030303030304,0.15151515151515152,0.030303030303030304,1.0,6.6,0.02571166207529844,inf
34,frozenset({'2.2i'}),frozenset({'190m'}),0.030303030303030304,0.09090909090909091,0.030303030303030304,1.0,11.0,0.027548209366391185,inf
35,frozenset({'190o'}),frozenset({'200m'}),0.09090909090909091,0.15151515151515152,0.09090909090909091,1.0,6.6,0.07713498622589532,inf
36,frozenset({'250o'}),frozenset({'2.0i'}),0.030303030303030304,0.15151515151515152,0.030303030303030304,1.0,6.6,0.02571166207529844,inf
37,frozenset({'260m'}),frozenset({'2.0i'}),0.030303030303030304,0.15151515151515152,0.030303030303030304,1.0,6.6,0.02571166207529844,inf
38,frozenset({'60o'}),frozenset({'2.1i'}),0.030303030303030304,0.06060606060606061,0.030303030303030304,1.0,16.5,0.02846648301193756,inf
39,frozenset({'2.3i'}),frozenset({'310o'}),0.030303030303030304,0.030303030303030304,0.030303030303030304,1.0,33.0,0.02938475665748393,inf
40,frozenset({'310o'}),frozenset({'2.3i'}),0.030303030303030304,0.030303030303030304,0.030303030303030304,1.0,33.0,0.02938475665748393,inf
41,frozenset({'2.3i'}),frozenset({'350m'}),0.030303030303030304,0.030303030303030304,0.030303030303030304,1.0,33.0,0.02938475665748393,inf
